term,type,target,variation
indocumentado,generic,immigrants,all
indocumentados,generic,immigrants,all
sin papel,generic,immigrants,all
sin papeles,generic,immigrants,all
sin documento,generic,immigrants,all
sin documentos,generic,immigrants,all
refugiado,generic,immigrants,all
refugiada,generic,immigrants,all
refugiados,generic,immigrants,all
refugiadas,generic,immigrants,all
migrante,generic,immigrants,all
migrantes,generic,immigrants,all
migracion,generic,immigrants,all
migraciones,generic,immigrants,all
inmigrante,generic,immigrants,all
inmigrantes,generic,immigrants,all
imigrante,generic,immigrants,all
imigrantes,generic,immigrants,all
immigrante,generic,immigrants,all
immigrantes,generic,immigrants,all
inmigracion,generic,immigrants,all
inmigraciones,generic,immigrants,all
immigracion,generic,immigrants,all
immigraciones,generic,immigrants,all
imigracion,generic,immigrants,all
imigraciones,generic,immigrants,all
