term,type,target,variation
venezuela,region,immigrants,latam
venesuela,region,immigrants,latam
venezolano,demonym,immigrants,latam
venezolana,demonym,immigrants,latam
venesolano,demonym,immigrants,latam
venesolana,demonym,immigrants,latam
venezolanos,demonym,immigrants,latam
venezolanas,demonym,immigrants,latam
venesolanos,demonym,immigrants,latam
venesolanas,demonym,immigrants,latam
chamo,nickname,immigrants,latam
chama,nickname,immigrants,latam
chamos,nickname,immigrants,latam
chamas,nickname,immigrants,latam
veneco,demonym,immigrants,latam
venecos,demonym,immigrants,latam
veneko,demonym,immigrants,latam
venekos,demonym,immigrants,latam
